month,dataset,dataset_status,rows,files,min_interval,max_interval,blocker
2020-01,DISPATCHPRICE,AVAILABLE,8928,1.0,2019-12-31T14:05:00Z,2020-01-31T14:00:00Z,
2020-01,DISPATCHREGIONSUM,MISSING,0,,,,
2020-01,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2020-01,DISPATCHCONSTRAINT,AVAILABLE,8928,1.0,2019-12-31T14:05:00Z,2020-01-31T14:00:00Z,
2020-01,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2020-01,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2020-01,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
2020-01,RENEWABLE_GENERATION,DERIVED_PARTIAL,0,0.0,,,No DUID technology map in repo snapshot
2020-01,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2020-01,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2020-02,DISPATCHPRICE,AVAILABLE,8352,1.0,2020-01-31T14:05:00Z,2020-02-29T14:00:00Z,
2020-02,DISPATCHREGIONSUM,MISSING,0,,,,
2020-02,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2020-02,DISPATCHCONSTRAINT,AVAILABLE,8352,1.0,2020-01-31T14:05:00Z,2020-02-29T14:00:00Z,
2020-02,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2020-02,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2020-02,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
2020-02,RENEWABLE_GENERATION,DERIVED_PARTIAL,0,0.0,,,No DUID technology map in repo snapshot
2020-02,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2020-02,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2020-03,DISPATCHPRICE,AVAILABLE,8928,1.0,2020-02-29T14:05:00Z,2020-03-31T14:00:00Z,
2020-03,DISPATCHREGIONSUM,MISSING,0,,,,
2020-03,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2020-03,DISPATCHCONSTRAINT,AVAILABLE,8928,1.0,2020-02-29T14:05:00Z,2020-03-31T14:00:00Z,
2020-03,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2020-03,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2020-03,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
2020-03,RENEWABLE_GENERATION,DERIVED_PARTIAL,0,0.0,,,No DUID technology map in repo snapshot
2020-03,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2020-03,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2020-04,DISPATCHPRICE,AVAILABLE,8640,1.0,2020-03-31T14:05:00Z,2020-04-30T14:00:00Z,
2020-04,DISPATCHREGIONSUM,MISSING,0,,,,
2020-04,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2020-04,DISPATCHCONSTRAINT,AVAILABLE,8640,1.0,2020-03-31T14:05:00Z,2020-04-30T14:00:00Z,
2020-04,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2020-04,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2020-04,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
2020-04,RENEWABLE_GENERATION,DERIVED_PARTIAL,0,0.0,,,No DUID technology map in repo snapshot
2020-04,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2020-04,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2020-05,DISPATCHPRICE,AVAILABLE,8928,1.0,2020-04-30T14:05:00Z,2020-05-31T14:00:00Z,
2020-05,DISPATCHREGIONSUM,MISSING,0,,,,
2020-05,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2020-05,DISPATCHCONSTRAINT,AVAILABLE,8928,1.0,2020-04-30T14:05:00Z,2020-05-31T14:00:00Z,
2020-05,DISPATCH_UNIT_SCADA,MISSING,0,,,,
2020-05,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2020-05,UNIT_COMMITMENT,DERIVED_PARTIAL,0,0.0,,,Derived proxy from SCADA only (no unit technology register)
