month,dataset,dataset_status,lineage_hash,source_lineage_complete
2020-01,DISPATCHPRICE,AVAILABLE,11ed88e187e16dca41b1b6fa7b3e7765114a1aa3d20e49d8153e06779b9a43aa,True
2020-01,DISPATCHREGIONSUM,MISSING,,False
2020-01,DISPATCHINTERCONNECTORRES,MISSING,,False
2020-01,DISPATCHCONSTRAINT,AVAILABLE,5670622f527bb451401a9f11fe51e0872514dc46622ab1e348e8433d37f82725,True
2020-01,DISPATCH_UNIT_SCADA,MISSING,,False
2020-01,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2020-01,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2020-01,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2020-01,WEATHER,BLOCKED_EXTERNAL,,True
2020-01,FCAS,BLOCKED_EXTERNAL,,True
2020-02,DISPATCHPRICE,AVAILABLE,c1741a0716421728bc84db0320d42ec2640f58b17c6f71fae266eeb1d8652e52,True
2020-02,DISPATCHREGIONSUM,MISSING,,False
2020-02,DISPATCHINTERCONNECTORRES,MISSING,,False
2020-02,DISPATCHCONSTRAINT,AVAILABLE,8b23810cb06339992f4e24af3e8fe8e9d40d1ab61255ff9aa1902d9618de6893,True
2020-02,DISPATCH_UNIT_SCADA,MISSING,,False
2020-02,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2020-02,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2020-02,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2020-02,WEATHER,BLOCKED_EXTERNAL,,True
2020-02,FCAS,BLOCKED_EXTERNAL,,True
2020-03,DISPATCHPRICE,AVAILABLE,86e5de0caaeef9d785c23a57eaeb71a46bc1a47c035133f1c65575e9ba9d1d52,True
2020-03,DISPATCHREGIONSUM,MISSING,,False
2020-03,DISPATCHINTERCONNECTORRES,MISSING,,False
2020-03,DISPATCHCONSTRAINT,AVAILABLE,2ee81db10b5cb318ae51607085511242b00ed146abbb6bb63488918a53964061,True
2020-03,DISPATCH_UNIT_SCADA,MISSING,,False
2020-03,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2020-03,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2020-03,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2020-03,WEATHER,BLOCKED_EXTERNAL,,True
2020-03,FCAS,BLOCKED_EXTERNAL,,True
2020-04,DISPATCHPRICE,AVAILABLE,fb71a498d89cdd0cae46511e87f4d75669e382672d1d255f13851a7e52fa9329,True
2020-04,DISPATCHREGIONSUM,MISSING,,False
2020-04,DISPATCHINTERCONNECTORRES,MISSING,,False
2020-04,DISPATCHCONSTRAINT,AVAILABLE,df19c2d042a27b74214652cfbde3dedc9793d124d0d160a5f0b73b96b9ab6639,True
2020-04,DISPATCH_UNIT_SCADA,MISSING,,False
2020-04,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2020-04,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2020-04,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2020-04,WEATHER,BLOCKED_EXTERNAL,,True
2020-04,FCAS,BLOCKED_EXTERNAL,,True
2020-05,DISPATCHPRICE,AVAILABLE,ca0617e8b790d3b5c75bebe3c9771db70e86b13b32416e904490febe93d6c0f3,True
2020-05,DISPATCHREGIONSUM,MISSING,,False
2020-05,DISPATCHINTERCONNECTORRES,MISSING,,False
2020-05,DISPATCHCONSTRAINT,AVAILABLE,30b2cc116be728e94d12f15b849eb4d4e5ca292f9979a8341fbede60e5ab2439,True
2020-05,DISPATCH_UNIT_SCADA,MISSING,,False
2020-05,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2020-05,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2020-05,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2020-05,WEATHER,BLOCKED_EXTERNAL,,True
2020-05,FCAS,BLOCKED_EXTERNAL,,True
2020-06,DISPATCHPRICE,MISSING,,False
2020-06,DISPATCHREGIONSUM,MISSING,,False
2020-06,DISPATCHINTERCONNECTORRES,MISSING,,False
2020-06,DISPATCHCONSTRAINT,AVAILABLE,9af629d0f73f9881c5c714e91a810b201d0481ca4c151c840d31e11a4b8a3966,True
2020-06,DISPATCH_UNIT_SCADA,MISSING,,False
2020-06,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2020-06,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2020-06,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2020-06,WEATHER,BLOCKED_EXTERNAL,,True
2020-06,FCAS,BLOCKED_EXTERNAL,,True
2020-07,DISPATCHPRICE,MISSING,,False
2020-07,DISPATCHREGIONSUM,MISSING,,False
2020-07,DISPATCHINTERCONNECTORRES,MISSING,,False
2020-07,DISPATCHCONSTRAINT,AVAILABLE,615aad6fcb519b8bb33417ceb73382777852d05d4e9f724313dc597c31457ef2,True
2020-07,DISPATCH_UNIT_SCADA,MISSING,,False
2020-07,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2020-07,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2020-07,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2020-07,WEATHER,BLOCKED_EXTERNAL,,True
2020-07,FCAS,BLOCKED_EXTERNAL,,True
2020-08,DISPATCHPRICE,MISSING,,False
2020-08,DISPATCHREGIONSUM,MISSING,,False
2020-08,DISPATCHINTERCONNECTORRES,MISSING,,False
2020-08,DISPATCHCONSTRAINT,AVAILABLE,79fcb2af0df8b91bf7a3a5226916779c5a22a291a88d766545f4cfe07ef2b381,True
2020-08,DISPATCH_UNIT_SCADA,MISSING,,False
2020-08,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2020-08,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2020-08,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2020-08,WEATHER,BLOCKED_EXTERNAL,,True
2020-08,FCAS,BLOCKED_EXTERNAL,,True
2020-09,DISPATCHPRICE,MISSING,,False
2020-09,DISPATCHREGIONSUM,MISSING,,False
2020-09,DISPATCHINTERCONNECTORRES,MISSING,,False
2020-09,DISPATCHCONSTRAINT,AVAILABLE,88e7a36910541c68a9fc076dd3e91eccdc4623bf3faa432550aa916bb3e139a9,True
2020-09,DISPATCH_UNIT_SCADA,MISSING,,False
2020-09,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2020-09,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2020-09,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2020-09,WEATHER,BLOCKED_EXTERNAL,,True
2020-09,FCAS,BLOCKED_EXTERNAL,,True
2020-10,DISPATCHPRICE,MISSING,,False
2020-10,DISPATCHREGIONSUM,MISSING,,False
