month,schema_version,column_count,schema_signature,schema_integrity
2020-01,a83f4e0b7113f9c8,20,interval_timestamp_utc:str|dispatchprice_nsw_rrp:float64|dispatchprice_qld_rrp:float64|dispatchprice_sa_rrp:float64|dispatchprice_tas_rrp:float64|dispatchprice_vic_rrp:float64|dispatchprice_price_spread_max_min:float64|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2020-02,a83f4e0b7113f9c8,20,interval_timestamp_utc:str|dispatchprice_nsw_rrp:float64|dispatchprice_qld_rrp:float64|dispatchprice_sa_rrp:float64|dispatchprice_tas_rrp:float64|dispatchprice_vic_rrp:float64|dispatchprice_price_spread_max_min:float64|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2020-03,a83f4e0b7113f9c8,20,interval_timestamp_utc:str|dispatchprice_nsw_rrp:float64|dispatchprice_qld_rrp:float64|dispatchprice_sa_rrp:float64|dispatchprice_tas_rrp:float64|dispatchprice_vic_rrp:float64|dispatchprice_price_spread_max_min:float64|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2020-04,a83f4e0b7113f9c8,20,interval_timestamp_utc:str|dispatchprice_nsw_rrp:float64|dispatchprice_qld_rrp:float64|dispatchprice_sa_rrp:float64|dispatchprice_tas_rrp:float64|dispatchprice_vic_rrp:float64|dispatchprice_price_spread_max_min:float64|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2020-05,a83f4e0b7113f9c8,20,interval_timestamp_utc:str|dispatchprice_nsw_rrp:float64|dispatchprice_qld_rrp:float64|dispatchprice_sa_rrp:float64|dispatchprice_tas_rrp:float64|dispatchprice_vic_rrp:float64|dispatchprice_price_spread_max_min:float64|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2020-06,7dfdc88bbb51f866,14,interval_timestamp_utc:str|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2020-07,7dfdc88bbb51f866,14,interval_timestamp_utc:str|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2020-08,7dfdc88bbb51f866,14,interval_timestamp_utc:str|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2020-09,7dfdc88bbb51f866,14,interval_timestamp_utc:str|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
2020-10,7dfdc88bbb51f866,14,interval_timestamp_utc:str|dispatchconstraint_constraint_count:float64|dispatchconstraint_max_marginal_value:float64|dispatchconstraint_mean_marginal_value:float64|dispatchconstraint_violation_count:float64|dispatchconstraint_max_violation_degree:float64|dispatchconstraint_binding_flag:object|observation_timestamp_utc:str|effective_timestamp_utc:str|publication_timestamp_utc:str|source:str|point_in_time_available:bool|quality_score:float64|lineage_hash:str,True
