asset_code,asset_name,network,state,latitude,longitude,annual_deferral_aud,year
AG_DARLINGHURST,DARLINGHURST,Ausgrid,NSW,-33.878199,151.21758,1000000.0,2025
AG_MILPERRA,MILPERRA,Ausgrid,NSW,-33.93814413,150.9990541,770000.0,2025
AG_PYMBLE,PYMBLE,Ausgrid,NSW,-33.748706,151.14531,950000.0,2025
AG_TS7220,WILLOUGHBY STS ,Ausgrid,NSW,-33.8170872,151.1854526,1370000.0,2025
AG_MACQUARIE,MACQUARIE STS,Ausgrid,NSW,-33.787249,151.13233,480000.0,2025
AG_Fdr 386,FDR 386 SURRY HILLS STS - DARLINGHURST TX 4,Ausgrid,NSW,-33.882476,151.21223,1000000.0,2025
AG_Fdr 9E1,FDR 9E1 SYDNEY EAST BSP - KURINGAI STS,Ausgrid,NSW,-33.72595648,151.2083165,620000.0,2025
AG_Fdr 9E2,FDR 9E2 SYDNEY EAST BSP - KURINGAI STS,Ausgrid,NSW,-33.72595648,151.2083165,620000.0,2025
AG_Fdr 769,FDR 769 PEAKHURST STS - BLAKEHURST,Ausgrid,NSW,-33.96588876,151.0626045,890000.0,2025
AG_Fdr 770,FDR 770 PEAKHURST STS - BLAKEHURST,Ausgrid,NSW,-33.96588876,151.0626045,890000.0,2025
AG_Fdr 91A,FDR 91A - BEACONSFIELD BSP TO ST PETERS ZS,Ausgrid,NSW,-33.91501442,151.1871919,1210000.0,2025
AG_Fdr 91B,FDR 91B - BEACONSFIELD BSP TO ST PETERS ZS,Ausgrid,NSW,-33.91501442,151.1871919,1210000.0,2025
AG_Fdr 91X/1,FDR 91X/1 - BEACONSFIELD BSP TO MARRICKVILLE ZS,Ausgrid,NSW,-33.91501442,151.1871919,60000.0,2025
AG_Fdr 91Y/1,FDR 91Y/1 - BEACONSFIELD BSP TO MARRICKVILLE ZS,Ausgrid,NSW,-33.91501442,151.1871919,60000.0,2025
AG_Fdr 91X/2,FDR 91X/2 - CHULLORA STSS TO MARRICKVILLE ZS,Ausgrid,NSW,-33.87887533,151.0658314,190000.0,2025
AG_Fdr 91Y/2,FDR 91Y/2 - CHULLORA STSS TO MARRICKVILLE ZS,Ausgrid,NSW,-33.87887533,151.0658314,190000.0,2025
AG_Fdr 92C,FDR 92C - CHULLORA STSS TO ST PETERS ZS,Ausgrid,NSW,-33.87887533,151.0658314,210000.0,2025
AG_Fdr 92X,FDR 92X - CHULLORA STSS TO ST PETERS ZS,Ausgrid,NSW,-33.87887533,151.0658314,210000.0,2025
AS_NLA,NEWMERELLA,AusNet Services,VIC,-37.73931,148.42519,340000.0,2025
AS_TGN,TRARALGON,AusNet Services,VIC,-38.18926,146.56011,740000.0,2025
AS_TT,THOMASTOWN,AusNet Services,VIC,-37.69088,145.01077,660000.0,2025
CP_B,COLLINGWOOD B,CitiPower,VIC,-37.806827,144.99128,940000.0,2025
CP_BQ,BOUVERIE/QUEENS,CitiPower,VIC,-37.805209,144.961347,350000.0,2025
CP_F,FITZROY,CitiPower,VIC,-37.787322,144.989626,4370000.0,2025
CP_PM,PORT MELBOURNE,CitiPower,VIC,-37.832811,144.925983,1350000.0,2025
CP_R,RICHMOND,CitiPower,VIC,-37.832457,144.993954,5390000.0,2025
CP_AP,ALBERT PARK,CitiPower,VIC,-37.836781,144.958192,120000.0,2025
CP_FB,FISHERMANS BEND,CitiPower,VIC,-37.824652,144.910653,130000.0,2025
CP_NR,NORTH RICHMOND,CitiPower,VIC,-37.8140979,144.9988229,290000.0,2025
CP_TK,TOORAK,CitiPower,VIC,-37.843783,145.004572,90000.0,2025
CP_WA,HEFFERNAN LANE,CitiPower,VIC,-37.81158591,144.9663893,310000.0,2025
CP_JA,LITTLE BOURKE STREET,CitiPower,VIC,-37.81574286,144.9534124,90000.0,2025
CP_B-CW,COLLINGWOOD TERMINAL STATIONS,CitiPower,VIC,-37.806827,144.99128,10000.0,2025
CP_BTS-F189,BRUNSWICK TERMINAL STATION TO FITZROY - F189,CitiPower,VIC,-37.772754,144.984504,5230000.0,2025
CP_BTS-F179,BRUNSWICK TERMINAL STATION TO FITZROY - F179,CitiPower,VIC,-37.772754,144.984504,5230000.0,2025
CP_RTS-R135,RICHMOND SUBSTATION TO RICHMOND TERMINAL STATION - R135,CitiPower,VIC,-37.832457,144.993954,5390000.0,2025
CP_RTS-R136,RICHMOND SUBSTATION TO RICHMOND TERMINAL STATION - R136,CitiPower,VIC,-37.832457,144.993954,5390000.0,2025
EE_9604,AMBARVALE,Endeavour Energy,NSW,-34.100323,150.791926,1130000.0,2025
EE_9804,BOX HILL,Endeavour Energy,NSW,-33.637224,150.898978,1040000.0,2025
EE_9707,EASTERN CREEK,Endeavour Energy,NSW,-33.812302,150.833287,280000.0,2025
EE_9700,KEMBLA GRANGE,Endeavour Energy,NSW,-34.468337,150.805984,1410000.0,2025
EE_9536,LUDDENHAM,Endeavour Energy,NSW,-33.838821,150.684136,970000.0,2025
EE_9768,ORAN PARK,Endeavour Energy,NSW,-33.996933,150.725465,1510000.0,2025
EE_9507,RIVERSTONE,Endeavour Energy,NSW,-33.673389,150.858732,1460000.0,2025
EE_Moreton Park Road ZS,MORETON PARK ROAD,Endeavour Energy,NSW,-34.093151,150.751829,1190000.0,2025
EE_Southern Macarthur 66kV,SOUTHERN MACARTHUR 66KV,Endeavour Energy,NSW,-34.072102,150.73224,480000.0,2025
EE_Parramatta area 132kV oil insulated cables,PARRAMATTA AREA 132KV OIL INSULATED CABLES,Endeavour Energy,NSW,-33.824824,151.030938,2410000.0,2025
EE_Parramatta 132kV cable capacity constraints,PARRAMATTA 132KV CABLE CAPACITY CONSTRAINTS,Endeavour Energy,NSW,-33.824824,151.030938,270000.0,2025
EX_EMD,EUMUNDI,Energex,QLD,-26.4824,152.9444,30000.0,2025
EX_LGV,LOGAN VILLAGE,Energex,QLD,-27.7701,153.1092,690000.0,2025
EX_NMC,NORTH MACLEAN,Energex,QLD,-27.7444,152.9861,1800000.0,2025
EX_PPE,PIMPAMA EAST,Energex,QLD,-27.8112,153.3356,1130000.0,2025
EX_WMR,WAMURAN,Energex,QLD,-27.0353,152.8556,50000.0,2025
EX_581,33 KV FEEDER 581,Energex,QLD,-27.448,153.111,80000.0,2025
EX_3641,33 KV FEEDER 3641,Energex,QLD,-27.855,153.293,380000.0,2025
EX_3642,33 KV FEEDER 3642,Energex,QLD,-27.855,153.293,10000.0,2025
EX_314,33 KV FEEDER 314,Energex,QLD,-27.965,152.993,960000.0,2025
EX_436,33 KV FEEDER 436,Energex,QLD,-27.640174,152.687503,10000.0,2025
EX_499,33 KV FEEDER 499,Energex,QLD,-27.065188,152.963122,10000.0,2025
EX_509A,33 KV FEEDER 509A,Energex,QLD,-27.630686,152.778882,10000.0,2025
EX_3303,33 KV FEEDER 3303,Energex,QLD,-27.43422,153.142538,40000.0,2025
ER_10030331,ATHERTON (66/22KV),Ergon Energy,QLD,-17.2551,145.4776,90000.0,2025
ER_20001223,AYR (66/11KV),Ergon Energy,QLD,-19.5825,147.3664,410000.0,2025
ER_40000001,BILOELA (66/11KV),Ergon Energy,QLD,-24.4014,150.5078,560000.0,2025
ER_20002743,BOHLE (66/11KV),Ergon Energy,QLD,-19.2644,146.708,50000.0,2025
ER_40017974,CALLIOPE (66/11KV),Ergon Energy,QLD,-24.0106,151.2113,410000.0,2025
ER_20003948,CAPE RIVER (66/11KV),Ergon Energy,QLD,-20.4758,145.4673,810000.0,2025
ER_60007255,CHARLEVILLE (66/22/11KV),Ergon Energy,QLD,-26.4062,146.2838,90000.0,2025
ER_60025697-1,CHINCHILLA BSP (132/33KV),Ergon Energy,QLD,-26.7446,150.6454,560000.0,2025
ER_82961890,CLARE SOUTH (66/11KV),Ergon Energy,QLD,-19.8384,147.213,60000.0,2025
ER_20003280,CRANBROOK (66/11KV),Ergon Energy,QLD,-19.3114,146.7471,240000.0,2025
ER_50000024,DEGILBO (66/11KV),Ergon Energy,QLD,-25.4816,151.9964,310000.0,2025
ER_20005446,EAST AYR (66/11KV),Ergon Energy,QLD,-19.5681,147.4084,70000.0,2025
ER_10030280,EVELYN (66/22KV),Ergon Energy,QLD,-17.4997,145.4943,270000.0,2025
ER_30064340,FARLEIGH (33/11KV),Ergon Energy,QLD,-21.1003,149.1032,290000.0,2025
ER_20006664,HOME HILL (66/11KV),Ergon Energy,QLD,-19.6729,147.4131,170000.0,2025
ER_20008188,JARVISFIELD (66/11KV),Ergon Energy,QLD,-19.6023,147.4291,170000.0,2025
