asset_code,asset_name,network,state,latitude,longitude,capacity_mva,peak_demand_mva,available_mva,annual_deferral_aud,aug_cost_aud,proposed_timing,asset_category,data_year,data_source_file,built_at
AG_DARLINGHURST,DARLINGHURST,Ausgrid,NSW,-33.878199,151.21758,,,-16800000.0,1000000.0,16800000.0,2028,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AG_MILPERRA,MILPERRA,Ausgrid,NSW,-33.93814413,150.9990541,,,-13000000.0,770000.0,0.0,2025,Winter,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AG_PYMBLE,PYMBLE,Ausgrid,NSW,-33.748706,151.14531,,,-16000000.0,950000.0,0.0,2027,Winter,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AG_TS7220,WILLOUGHBY STS ,Ausgrid,NSW,-33.8170872,151.1854526,,,-23100000.0,1370000.0,0.0,2027,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AG_MACQUARIE,MACQUARIE STS,Ausgrid,NSW,-33.787249,151.13233,,,-8100000.0,480000.0,8100000.0,2025,Winter,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AG_WALLUMATTA,WALLUMATTA STS,Ausgrid,NSW,-33.787249,151.13233,,,-0.0,0.0,0.0,2028,,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AG_Fdr 386,FDR 386 SURRY HILLS STS - DARLINGHURST TX 4,Ausgrid,NSW,-33.882476,151.21223,,,-16800000.0,1000000.0,16800000.0,2028,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AG_Fdr 9E1,FDR 9E1 SYDNEY EAST BSP - KURINGAI STS,Ausgrid,NSW,-33.72595648,151.2083165,,,-10400000.0,620000.0,0.0,2025,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AG_Fdr 9E2,FDR 9E2 SYDNEY EAST BSP - KURINGAI STS,Ausgrid,NSW,-33.72595648,151.2083165,,,-10400000.0,620000.0,0.0,2025,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AG_Fdr 769,FDR 769 PEAKHURST STS - BLAKEHURST,Ausgrid,NSW,-33.96588876,151.0626045,,,-14900000.0,890000.0,0.0,2026,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AG_Fdr 770,FDR 770 PEAKHURST STS - BLAKEHURST,Ausgrid,NSW,-33.96588876,151.0626045,,,-14900000.0,890000.0,0.0,2026,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AG_Fdr 91A,FDR 91A - BEACONSFIELD BSP TO ST PETERS ZS,Ausgrid,NSW,-33.91501442,151.1871919,,,-20300000.0,1210000.0,0.0,2029,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AG_Fdr 91B,FDR 91B - BEACONSFIELD BSP TO ST PETERS ZS,Ausgrid,NSW,-33.91501442,151.1871919,,,-20300000.0,1210000.0,0.0,2029,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AG_Fdr 91X/1,FDR 91X/1 - BEACONSFIELD BSP TO MARRICKVILLE ZS,Ausgrid,NSW,-33.91501442,151.1871919,,,-1030000.0,60000.0,0.0,2028,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AG_Fdr 91Y/1,FDR 91Y/1 - BEACONSFIELD BSP TO MARRICKVILLE ZS,Ausgrid,NSW,-33.91501442,151.1871919,,,-1030000.0,60000.0,0.0,2028,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AG_Fdr 91X/2,FDR 91X/2 - CHULLORA STSS TO MARRICKVILLE ZS,Ausgrid,NSW,-33.87887533,151.0658314,,,-3200000.0,190000.0,3200000.0,2028,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AG_Fdr 91Y/2,FDR 91Y/2 - CHULLORA STSS TO MARRICKVILLE ZS,Ausgrid,NSW,-33.87887533,151.0658314,,,-3200000.0,190000.0,3200000.0,2028,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AG_Fdr 92C,FDR 92C - CHULLORA STSS TO ST PETERS ZS,Ausgrid,NSW,-33.87887533,151.0658314,,,-3500000.0,210000.0,3500000.0,2028,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AG_Fdr 92X,FDR 92X - CHULLORA STSS TO ST PETERS ZS,Ausgrid,NSW,-33.87887533,151.0658314,,,-3500000.0,210000.0,3500000.0,2028,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AS_BDL,BAIRNSDALE,AusNet Services,VIC,-37.80837,147.64766,,,-0.0,0.0,0.0,2025,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AS_BGE,BELGRAVE,AusNet Services,VIC,-37.93034,145.36099,,,-0.0,0.0,0.0,2023,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AS_BN,BENALLA,AusNet Services,VIC,-36.55601,145.96176,,,-0.0,0.0,0.0,2023,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AS_BWR,BAYSWATER,AusNet Services,VIC,-37.83473,145.27189,,,-0.0,0.0,0.0,2025,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AS_CLN,CLYDE NORTH,AusNet Services,VIC,-38.09483,145.33297,,,-0.0,0.0,0.0,2024,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AS_FGY,FERNTREE GULLY,AusNet Services,VIC,-37.8934,145.29245,,,-0.0,0.0,0.0,2023,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AS_LDL,LILYDALE,AusNet Services,VIC,-37.76354,145.35806,,,-0.0,0.0,0.0,2025,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AS_LLG,LANG LANG,AusNet Services,VIC,-38.26753,145.55641,,,-0.0,0.0,0.0,2023,Winter,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AS_MFA,MAFFRA,AusNet Services,VIC,-37.97089,146.9821,,,-0.0,0.0,0.0,2024,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AS_NLA,NEWMERELLA,AusNet Services,VIC,-37.73931,148.42519,,,-3500000.0,340000.0,0.0,2026,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AS_SLE,SALE,AusNet Services,VIC,-38.10125,147.09592,,,-0.0,0.0,0.0,2023,Summer,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AS_TGN,TRARALGON,AusNet Services,VIC,-38.18926,146.56011,,,-7640000.0,740000.0,0.0,2030,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
AS_TT,THOMASTOWN,AusNet Services,VIC,-37.69088,145.01077,,,-6750000.0,660000.0,0.0,2030,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
