quarter,interconnector_id,from_region,residue_aud
C2025Q3,N-Q-MNSP1,NSW1,-4477712.295640
C2025Q3,N-Q-MNSP1,QLD1,11123034.793780
C2025Q3,NSW1-QLD1,NSW1,2611455.041700
C2025Q3,NSW1-QLD1,QLD1,184476692.275300
C2025Q3,T-V-MNSP1,TAS1,0
C2025Q3,T-V-MNSP1,VIC1,0
C2025Q3,V-S-MNSP1,SA1,4493513.903420
C2025Q3,V-S-MNSP1,VIC1,9647894.970800
C2025Q3,V-SA,SA1,24659726.186370
C2025Q3,V-SA,VIC1,83775074.127200
C2025Q3,VIC1-NSW1,NSW1,31092001.743820
C2025Q3,VIC1-NSW1,VIC1,194575168.467120
C2025Q4,N-Q-MNSP1,NSW1,476979.748740
C2025Q4,N-Q-MNSP1,QLD1,6908289.846730
C2025Q4,NSW1-QLD1,NSW1,5492528.341020
C2025Q4,NSW1-QLD1,QLD1,40078739.345560
C2025Q4,T-V-MNSP1,TAS1,0
C2025Q4,T-V-MNSP1,VIC1,0
C2025Q4,V-S-MNSP1,SA1,384930.733500
C2025Q4,V-S-MNSP1,VIC1,1385776.738930
C2025Q4,V-SA,SA1,4444510.103610
C2025Q4,V-SA,VIC1,8608184.057640
C2025Q4,VIC1-NSW1,NSW1,-24094363.452130
C2025Q4,VIC1-NSW1,VIC1,69253599.279700
C2026Q1,N-Q-MNSP1,NSW1,-1132.094320
C2026Q1,N-Q-MNSP1,QLD1,1804301.888650
C2026Q1,NSW1-QLD1,NSW1,2239255.156210
C2026Q1,NSW1-QLD1,QLD1,27354246.620890
C2026Q1,T-V-MNSP1,TAS1,0
C2026Q1,T-V-MNSP1,VIC1,0
C2026Q1,V-S-MNSP1,SA1,-226671.432620
C2026Q1,V-S-MNSP1,VIC1,4996060.864400
C2026Q1,V-SA,SA1,1932850.687110
C2026Q1,V-SA,VIC1,34125653.343470
C2026Q1,VIC1-NSW1,NSW1,-7943152.248470
C2026Q1,VIC1-NSW1,VIC1,56120807.319050
C2026Q2,N-Q-MNSP1,NSW1,169694.681400
C2026Q2,N-Q-MNSP1,QLD1,5657505.369440
C2026Q2,NSW1-QLD1,NSW1,4846356.675410
C2026Q2,NSW1-QLD1,QLD1,58418985.809140
C2026Q2,T-V-MNSP1,TAS1,0
C2026Q2,T-V-MNSP1,VIC1,0
C2026Q2,V-S-MNSP1,SA1,-1168259.602330
C2026Q2,V-S-MNSP1,VIC1,17511894.202760
C2026Q2,V-SA,SA1,1423321.425960
C2026Q2,V-SA,VIC1,70545804.970930
C2026Q2,VIC1-NSW1,NSW1,4033495.546320
C2026Q2,VIC1-NSW1,VIC1,160131088.640820
C2026Q3,N-Q-MNSP1,NSW1,0
C2026Q3,N-Q-MNSP1,QLD1,28.1419
C2026Q3,NSW1-QLD1,NSW1,0
C2026Q3,NSW1-QLD1,QLD1,761.622640
C2026Q3,T-V-MNSP1,TAS1,0
C2026Q3,T-V-MNSP1,VIC1,0
C2026Q3,V-S-MNSP1,SA1,0.670160
C2026Q3,V-S-MNSP1,VIC1,0
C2026Q3,V-SA,SA1,8.842640
C2026Q3,V-SA,VIC1,0
C2026Q3,VIC1-NSW1,NSW1,0
C2026Q3,VIC1-NSW1,VIC1,29067.670160
