quarter,interconnector_id,from_region,residue_aud
C2026Q1,N-Q-MNSP1,NSW1,223213.82679964314
C2026Q1,N-Q-MNSP1,QLD1,2065735.4309446383
C2026Q1,NSW1-QLD1,NSW1,5448329.500239991
C2026Q1,NSW1-QLD1,QLD1,28035316.782864425
C2026Q1,T-V-MNSP1,TAS1,0.0
C2026Q1,T-V-MNSP1,VIC1,0.0
C2026Q1,V-S-MNSP1,SA1,-788065.9948516671
C2026Q1,V-S-MNSP1,VIC1,1815031.476726904
C2026Q1,V-SA,SA1,589110.2143583333
C2026Q1,V-SA,VIC1,50072244.688457064
C2026Q1,VIC1-NSW1,NSW1,-6377504.57103166
C2026Q1,VIC1-NSW1,VIC1,22111306.71206129
