interconnector_id,from_region,dispatch_residue_aud,auction_netpayment_aud,delta_aud
N-Q-MNSP1,NSW1,-318.23372,0.0,-318.23372
N-Q-MNSP1,QLD1,95988.06398,0.0,95988.06398
NSW1-QLD1,NSW1,0.0,0.0,0.0
NSW1-QLD1,QLD1,2423194.56953,0.0,2423194.56953
T-V-MNSP1,TAS1,276997.40445,0.0,276997.40445
T-V-MNSP1,VIC1,-1710.63444,0.0,-1710.63444
V-S-MNSP1,SA1,23.76718,0.0,23.76718
V-S-MNSP1,VIC1,63164.97699,0.0,63164.97699
V-SA,SA1,1356.97483,0.0,1356.97483
V-SA,VIC1,183923.13033,0.0,183923.13033
VIC1-NSW1,NSW1,262788.32634,0.0,262788.32634
VIC1-NSW1,VIC1,231517.14481,0.0,231517.14481
