quarter,interconnector_id,from_region,surplus_aud
C2020Q2,N-Q-MNSP1,NSW1,0.0
C2020Q2,N-Q-MNSP1,QLD1,618770.4768799997
C2020Q2,NSW1-QLD1,NSW1,0.0
C2020Q2,NSW1-QLD1,QLD1,5317444.469250003
C2020Q2,T-V-MNSP1,TAS1,0.0
C2020Q2,T-V-MNSP1,VIC1,0.0
C2020Q2,V-S-MNSP1,SA1,15521.50622
C2020Q2,V-S-MNSP1,VIC1,197428.5817099998
C2020Q2,V-SA,SA1,284926.0288399999
C2020Q2,V-SA,VIC1,398028.6436300003
C2020Q2,VIC1-NSW1,NSW1,304934.4065399999
C2020Q2,VIC1-NSW1,VIC1,1107883.0665799994
C2020Q3,N-Q-MNSP1,NSW1,-6.49358
C2020Q3,N-Q-MNSP1,QLD1,1479914.637089997
C2020Q3,NSW1-QLD1,NSW1,847.00572
C2020Q3,NSW1-QLD1,QLD1,13779524.676020045
C2020Q3,T-V-MNSP1,TAS1,0.0
C2020Q3,T-V-MNSP1,VIC1,0.0
C2020Q3,V-S-MNSP1,SA1,557849.0299700004
C2020Q3,V-S-MNSP1,VIC1,109424.6617900001
C2020Q3,V-SA,SA1,7523368.56844999
C2020Q3,V-SA,VIC1,301617.6100900005
C2020Q3,VIC1-NSW1,NSW1,3841818.7201699982
C2020Q3,VIC1-NSW1,VIC1,4703447.802480005
C2020Q4,N-Q-MNSP1,NSW1,62289.08171566002
C2020Q4,N-Q-MNSP1,QLD1,3268185.393976212
C2020Q4,NSW1-QLD1,NSW1,793884.1879088295
C2020Q4,NSW1-QLD1,QLD1,26109626.385114297
C2020Q4,T-V-MNSP1,TAS1,0.0
C2020Q4,T-V-MNSP1,VIC1,0.0
C2020Q4,V-S-MNSP1,SA1,890354.5032903999
C2020Q4,V-S-MNSP1,VIC1,207364.08781871985
C2020Q4,V-SA,SA1,7165004.427503308
C2020Q4,V-SA,VIC1,591727.3284559002
C2020Q4,VIC1-NSW1,NSW1,-2937851.0184939737
C2020Q4,VIC1-NSW1,VIC1,17207225.694369815
C2021Q1,N-Q-MNSP1,NSW1,95050.61783656004
C2021Q1,N-Q-MNSP1,QLD1,-193776.2321891701
C2021Q1,NSW1-QLD1,NSW1,873144.3838295698
C2021Q1,NSW1-QLD1,QLD1,-1849474.3453405015
C2021Q1,T-V-MNSP1,TAS1,0.0
C2021Q1,T-V-MNSP1,VIC1,0.0
C2021Q1,V-S-MNSP1,SA1,215446.2091238599
C2021Q1,V-S-MNSP1,VIC1,5631327.048703997
C2021Q1,V-SA,SA1,2884020.121436466
C2021Q1,V-SA,VIC1,9492734.460698385
C2021Q1,VIC1-NSW1,NSW1,-195031.5410484599
C2021Q1,VIC1-NSW1,VIC1,15043786.143906249
C2021Q2,N-Q-MNSP1,NSW1,677713.1329638801
C2021Q2,N-Q-MNSP1,QLD1,1956729.5223977696
C2021Q2,NSW1-QLD1,NSW1,9557441.029825583
C2021Q2,NSW1-QLD1,QLD1,12364657.219741518
C2021Q2,T-V-MNSP1,TAS1,0.0
C2021Q2,T-V-MNSP1,VIC1,0.0
C2021Q2,V-S-MNSP1,SA1,110696.24297497992
C2021Q2,V-S-MNSP1,VIC1,622927.6103482005
C2021Q2,V-SA,SA1,2105376.34635589
C2021Q2,V-SA,VIC1,2499736.2989734043
C2021Q2,VIC1-NSW1,NSW1,2128533.398301198
C2021Q2,VIC1-NSW1,VIC1,68675882.40983649
C2021Q3,N-Q-MNSP1,NSW1,71110.29548507
C2021Q3,N-Q-MNSP1,QLD1,644024.4893696214
C2021Q3,NSW1-QLD1,NSW1,304966.1841295097
C2021Q3,NSW1-QLD1,QLD1,3276190.355892976
C2021Q3,T-V-MNSP1,TAS1,0.0
C2021Q3,T-V-MNSP1,VIC1,0.0
C2021Q3,V-S-MNSP1,SA1,510592.3358249688
C2021Q3,V-S-MNSP1,VIC1,991805.977695231
