quarter,quarter_pnl,quarter_cost,quarter_trades,quarter_return_on_cost
C2020Q2,-157402.42243,232150.54863,25,-0.678018739817268
C2020Q3,84968.59949,244791.35681,27,0.3471062074955129
C2020Q4,152814.3005128767,243201.6801871233,23,0.6283439341179671
C2021Q1,250479.51280000005,411132.92220000003,18,0.609242167860621
C2021Q2,1524946.670929452,451439.4889705479,34,3.3779647287987693
C2021Q3,276539.15547301364,851250.1564269863,35,0.32486238432395875
C2021Q4,469238.35250794515,636127.0636920548,28,0.7376487800794159
C2022Q1,299193.72857205477,549256.8465279451,16,0.5447246228487975
C2022Q2,570047.1947023288,298184.62269767124,23,1.9117256602474046
C2022Q3,1793669.0002950684,574907.0977049315,24,3.1199284327076806
C2022Q4,92982.94109178081,593789.6372082192,22,0.15659239445294543
C2023Q1,-972890.0760972602,761883.3721972603,13,-1.2769540740749594
C2023Q2,9558.767421095909,253710.6021789041,12,0.037675869037414295
C2023Q3,390424.88261657534,581284.1684834247,11,0.6716592396369527
C2023Q4,-687478.3260979452,756391.9802979452,14,-0.9088916117634475
C2024Q1,-111674.7588728767,1082870.1651728766,16,-0.10312848434147062
C2024Q2,250714.9789172603,491757.4576827397,11,0.5098346247735212
C2024Q3,524489.266769452,548680.8757305479,13,0.9559095094596004
C2024Q4,-216642.69916342464,712197.1445634246,13,-0.3041892274030755
C2025Q1,-325433.89004589047,815482.5460458904,11,-0.3990691053093085
C2025Q2,-260637.32527479448,539157.2290747946,13,-0.48341617476233
C2025Q3,-44747.68241123289,513636.4576112329,19,-0.08711936574623376
C2025Q4,-429085.1622982192,679921.8723982192,19,-0.6310800986365548
C2026Q1,622619.6990149315,1003833.8763850685,10,0.6202417687447079
C2026Q2,-189384.63135383563,554783.4425538357,17,-0.3413667691343509
