contract_id,interconnector_id,from_region,mmsdm_month,quarter,tranche,version_no,units_offered,units_sold,clearing_price,reserve_price
C2018Q3T12,NSW1-QLD1,NSW1,2021-02,C2018Q3,T12,7,55,55,411.27,0.0
C2018Q3T12,NSW1-QLD1,QLD1,2021-02,C2018Q3,T12,7,100,100,8832.0,0.0
C2018Q3T12,V-SA,SA1,2021-02,C2018Q3,T12,7,66,66,3224.84,0.0
C2018Q3T12,V-SA,VIC1,2021-02,C2018Q3,T12,7,77,77,2570.0,0.0
C2018Q3T12,VIC1-NSW1,NSW1,2021-02,C2018Q3,T12,7,112,112,2348.45,0.0
C2018Q3T12,VIC1-NSW1,VIC1,2021-02,C2018Q3,T12,7,125,125,3627.0,0.0
C2018Q4T11,NSW1-QLD1,NSW1,2021-02,C2018Q4,T11,7,45,45,1290.0,0.0
C2018Q4T11,NSW1-QLD1,QLD1,2021-02,C2018Q4,T11,7,100,100,6523.0,0.0
C2018Q4T11,V-SA,SA1,2021-02,C2018Q4,T11,7,64,64,3474.07,0.0
C2018Q4T11,V-SA,VIC1,2021-02,C2018Q4,T11,7,73,73,3201.0,0.0
C2018Q4T11,VIC1-NSW1,NSW1,2021-02,C2018Q4,T11,7,108,108,2500.0,0.0
C2018Q4T11,VIC1-NSW1,VIC1,2021-02,C2018Q4,T11,7,125,125,4011.0,0.0
C2018Q4T12,NSW1-QLD1,NSW1,2021-02,C2018Q4,T12,12,55,55,666.66,0.0
C2018Q4T12,NSW1-QLD1,QLD1,2021-02,C2018Q4,T12,12,100,100,7001.9,0.0
C2018Q4T12,V-SA,SA1,2021-02,C2018Q4,T12,12,66,66,3446.0,0.0
C2018Q4T12,V-SA,VIC1,2021-02,C2018Q4,T12,12,77,77,2501.55,0.0
C2018Q4T12,VIC1-NSW1,NSW1,2021-02,C2018Q4,T12,12,112,112,2030.88,0.0
C2018Q4T12,VIC1-NSW1,VIC1,2021-02,C2018Q4,T12,12,125,125,5125.0,0.0
C2019Q1T10,NSW1-QLD1,NSW1,2021-02,C2019Q1,T10,7,45,45,4390.0,0.0
C2019Q1T10,NSW1-QLD1,QLD1,2021-02,C2019Q1,T10,7,100,100,10750.0,0.0
C2019Q1T10,V-SA,SA1,2021-02,C2019Q1,T10,7,64,64,5676.98,0.0
C2019Q1T10,V-SA,VIC1,2021-02,C2019Q1,T10,7,73,73,7940.0,0.0
C2019Q1T10,VIC1-NSW1,NSW1,2021-02,C2019Q1,T10,7,108,108,7011.88,0.0
C2019Q1T10,VIC1-NSW1,VIC1,2021-02,C2019Q1,T10,7,125,125,5148.0,0.0
C2019Q1T11,NSW1-QLD1,NSW1,2021-02,C2019Q1,T11,12,45,45,2567.37,0.0
