quarter,interconnector_id,from_region,surplus_aud,total_units_sold,payout_per_unit,weighted_avg_clearing_price,alpha,alpha_pct
C2020Q2,NSW1-QLD1,NSW1,0.0,370.0,0.0,341.6981,-341.6981,-100.0
C2020Q2,NSW1-QLD1,QLD1,5317444.469250003,812.0,6548.5769,11831.9553,-5283.3784,-44.65
C2020Q2,V-SA,SA1,284926.0288399999,514.0,554.3308,6276.9149,-5722.5841,-91.17
C2020Q2,V-SA,VIC1,398028.6436300003,588.0,676.9195,1780.6082,-1103.6887,-61.98
C2020Q2,VIC1-NSW1,NSW1,304934.4065399999,888.0,343.3946,2216.1227,-1872.7281,-84.5
C2020Q2,VIC1-NSW1,VIC1,1107883.0665799994,1030.0,1075.6146,4251.8932,-3176.2786,-74.7
C2020Q3,NSW1-QLD1,NSW1,847.00572,415.0,2.041,332.5689,-330.5279,-99.39
C2020Q3,NSW1-QLD1,QLD1,13779524.676020045,939.0,14674.6802,12038.7444,2635.9358,21.9
C2020Q3,V-SA,SA1,7523368.56844999,585.0,12860.4591,7994.1951,4866.264,60.87
C2020Q3,V-SA,VIC1,301617.6100900005,661.0,456.305,1728.1544,-1271.8494,-73.6
C2020Q3,VIC1-NSW1,NSW1,3841818.7201699982,976.0,3936.2897,1828.6875,2107.6022,115.25
C2020Q3,VIC1-NSW1,VIC1,4703447.802480005,1135.0,4144.0069,4967.4526,-823.4457,-16.58
C2020Q4,NSW1-QLD1,NSW1,793884.1879088295,460.0,1725.8352,782.5986,943.2366,120.53
C2020Q4,NSW1-QLD1,QLD1,26109626.385114297,1013.0,25774.5571,9916.6417,15857.9154,159.91
C2020Q4,V-SA,SA1,7165004.427503308,642.0,11160.443,7760.5883,3399.8547,43.81
C2020Q4,V-SA,VIC1,591727.3284559002,734.0,806.168,2183.5266,-1377.3586,-63.08
C2020Q4,VIC1-NSW1,NSW1,-2937851.0184939737,1090.0,-2695.2762,2363.1229,-5058.3991,-214.06
C2020Q4,VIC1-NSW1,VIC1,17207225.694369815,1258.0,13678.2398,5154.0372,8524.2026,165.39
C2021Q1,NSW1-QLD1,NSW1,873144.3838295698,505.0,1728.9988,2815.0891,-1086.0903,-38.58
C2021Q1,NSW1-QLD1,QLD1,-1849474.3453405015,1100.0,-1681.3403,13815.7982,-15497.1385,-112.17
C2021Q1,V-SA,SA1,2884020.121436466,706.0,4085.0143,6675.8314,-2590.8171,-38.81
C2021Q1,V-SA,VIC1,9492734.460698385,807.0,11762.9919,6044.428,5718.5639,94.61
C2021Q1,VIC1-NSW1,NSW1,-195031.5410484599,1203.0,-162.121,6093.7431,-6255.8641,-102.66
C2021Q1,VIC1-NSW1,VIC1,15043786.143906249,1396.0,10776.3511,6220.7132,4555.6379,73.23
C2021Q2,NSW1-QLD1,NSW1,9557441.029825583,550.0,17377.1655,304.6939,17072.4716,5603.16
C2021Q2,NSW1-QLD1,QLD1,12364657.219741518,1230.0,10052.5668,10064.8602,-12.2934,-0.12
C2021Q2,V-SA,SA1,2105376.34635589,774.0,2720.1245,5808.1135,-3087.989,-53.17
C2021Q2,V-SA,VIC1,2499736.2989734043,880.0,2840.6094,1972.2607,868.3487,44.03
C2021Q2,VIC1-NSW1,NSW1,2128533.398301198,1300.0,1637.3334,1497.6117,139.7217,9.33
C2021Q2,VIC1-NSW1,VIC1,68675882.40983649,1510.0,45480.7168,5161.5993,40319.1175,781.14
C2021Q3,NSW1-QLD1,NSW1,304966.1841295097,550.0,554.484,652.8839,-98.3999,-15.07
C2021Q3,NSW1-QLD1,QLD1,3276190.355892976,1237.0,2648.4966,10358.4968,-7710.0002,-74.43
C2021Q3,V-SA,SA1,4723539.470245901,770.0,6134.4668,7109.1636,-974.6968,-13.71
C2021Q3,V-SA,VIC1,2421052.1676660175,903.0,2681.1209,2108.3767,572.7442,27.17
C2021Q3,VIC1-NSW1,NSW1,-719685.8094804201,1300.0,-553.6045,1417.0679,-1970.6724,-139.07
C2021Q3,VIC1-NSW1,VIC1,24892787.45504171,1537.0,16195.6978,6572.4899,9623.2079,146.42
C2021Q4,NSW1-QLD1,NSW1,8743373.051038295,556.0,15725.4911,1338.1277,14387.3634,1075.19
C2021Q4,NSW1-QLD1,QLD1,-1725197.5070337194,1217.0,-1417.5822,9753.1149,-11170.6971,-114.53
C2021Q4,V-SA,SA1,5005108.627285332,770.0,6500.1411,6514.3194,-14.1783,-0.22
C2021Q4,V-SA,VIC1,15579245.306551125,893.0,17445.9634,2872.6332,14573.3302,507.32
C2021Q4,VIC1-NSW1,NSW1,-3656487.893978488,1311.0,-2789.0831,1542.8278,-4331.9109,-280.78
C2021Q4,VIC1-NSW1,VIC1,36203936.69354663,1530.0,23662.7037,7559.8162,16102.8875,213.01
C2022Q1,NSW1-QLD1,NSW1,22330902.75460369,559.0,39947.9477,4252.4499,35695.4978,839.41
C2022Q1,NSW1-QLD1,QLD1,1138729.5015859797,1213.0,938.7712,13563.9374,-12625.1662,-93.08
C2022Q1,V-SA,SA1,2392235.219340576,793.0,3016.6901,5629.0297,-2612.3396,-46.41
C2022Q1,V-SA,VIC1,9012681.034206426,881.0,10230.0579,6873.5858,3356.4721,48.83
C2022Q1,VIC1-NSW1,NSW1,-4750518.747844456,1363.0,-3485.3402,5392.9189,-8878.2591,-164.63
C2022Q1,VIC1-NSW1,VIC1,25332729.179920707,1519.0,16677.2411,10401.6304,6275.6107,60.33
C2022Q2,NSW1-QLD1,NSW1,4931466.883199462,605.0,8151.1849,1641.9789,6509.206,396.42
C2022Q2,NSW1-QLD1,QLD1,19580125.20716403,1223.0,16009.9143,10938.8307,5071.0836,46.36
C2022Q2,V-SA,SA1,6219608.0793594895,786.0,7912.9874,5248.8557,2664.1317,50.76
C2022Q2,V-SA,VIC1,18443863.197871774,913.0,20201.3836,3726.2889,16475.0947,442.13
C2022Q2,VIC1-NSW1,NSW1,-377233.9073790909,1350.0,-279.4325,1098.2623,-1377.6948,-125.44
C2022Q2,VIC1-NSW1,VIC1,90749472.71173497,1533.0,59197.3077,9631.4858,49565.8219,514.62
C2022Q3,NSW1-QLD1,NSW1,6785610.172253989,581.0,11679.1913,1771.5555,9907.6358,559.26
C2022Q3,NSW1-QLD1,QLD1,42150054.48622212,1217.0,34634.3915,12231.2498,22403.1417,183.16
C2022Q3,V-SA,SA1,7126463.964700508,785.0,9078.298,6148.3933,2929.9047,47.65
C2022Q3,V-SA,VIC1,18431720.29356719,890.0,20709.7981,4187.6352,16522.1629,394.55
C2022Q3,VIC1-NSW1,NSW1,5307906.450111704,1327.0,3999.9295,1068.6703,2931.2592,274.29
C2022Q3,VIC1-NSW1,VIC1,59911339.20408951,1563.0,38330.9912,13062.5865,25268.4047,193.44
C2022Q4,NSW1-QLD1,NSW1,6852519.706485287,560.0,12236.6423,4996.8391,7239.8032,144.89
C2022Q4,NSW1-QLD1,QLD1,9227489.720064228,1221.0,7557.3216,11226.7107,-3669.3891,-32.68
C2022Q4,V-SA,SA1,6576202.650192937,770.0,8540.5229,6472.4868,2068.0361,31.95
C2022Q4,V-SA,VIC1,6566326.937572801,885.0,7419.5785,7088.6433,330.9352,4.67
C2022Q4,VIC1-NSW1,NSW1,-4863981.147837406,1313.0,-3704.4792,1212.8645,-4917.3437,-405.43
C2022Q4,VIC1-NSW1,VIC1,57677646.99605584,1553.0,37139.5023,18446.7283,18692.774,101.33
C2023Q1,NSW1-QLD1,NSW1,6069382.218041337,556.0,10916.1551,9890.7779,1025.3772,10.37
C2023Q1,NSW1-QLD1,QLD1,10908580.144720083,1290.0,8456.2637,15503.0922,-7046.8285,-45.45
C2023Q1,V-SA,SA1,2805843.01796376,813.0,3451.2214,6324.1488,-2872.9274,-45.43
C2023Q1,V-SA,VIC1,17710814.87730655,892.0,19855.1736,13998.2138,5856.9598,41.84
C2023Q1,VIC1-NSW1,NSW1,-5264409.493116269,1346.0,-3911.1512,5227.3601,-9138.5113,-174.82
