quarter,interconnector_id,from_region,surplus_aud
C2020Q2,N-Q-MNSP1,NSW1,0.0
C2020Q2,N-Q-MNSP1,QLD1,618770.4768799997
C2020Q2,NSW1-QLD1,NSW1,0.0
C2020Q2,NSW1-QLD1,QLD1,5317444.469250003
C2020Q2,T-V-MNSP1,TAS1,0.0
C2020Q2,T-V-MNSP1,VIC1,0.0
C2020Q2,V-S-MNSP1,SA1,15521.506220000001
C2020Q2,V-S-MNSP1,VIC1,197428.5817099998
C2020Q2,V-SA,SA1,284926.0288399999
C2020Q2,V-SA,VIC1,398028.64363000036
C2020Q2,VIC1-NSW1,NSW1,304934.4065399999
C2020Q2,VIC1-NSW1,VIC1,1107883.0665799994
C2020Q3,N-Q-MNSP1,NSW1,0.0
C2020Q3,N-Q-MNSP1,QLD1,567727.7808299989
C2020Q3,NSW1-QLD1,NSW1,3.186539999999999
C2020Q3,NSW1-QLD1,QLD1,6274984.23986
C2020Q3,T-V-MNSP1,TAS1,0.0
C2020Q3,T-V-MNSP1,VIC1,0.0
C2020Q3,V-S-MNSP1,SA1,266611.4745200002
C2020Q3,V-S-MNSP1,VIC1,51634.751359999966
C2020Q3,V-SA,SA1,3266254.355159997
C2020Q3,V-SA,VIC1,117597.29987000018
C2020Q3,VIC1-NSW1,NSW1,806672.0419999999
C2020Q3,VIC1-NSW1,VIC1,3410423.067569996
C2020Q4,N-Q-MNSP1,NSW1,62296.653219999986
C2020Q4,N-Q-MNSP1,QLD1,1995508.4062800002
C2020Q4,NSW1-QLD1,NSW1,793519.1519499994
C2020Q4,NSW1-QLD1,QLD1,13456917.902690003
C2020Q4,T-V-MNSP1,TAS1,0.0
C2020Q4,T-V-MNSP1,VIC1,0.0
C2020Q4,V-S-MNSP1,SA1,206148.79768000016
C2020Q4,V-S-MNSP1,VIC1,116973.33287000009
C2020Q4,V-SA,SA1,2102489.1994599965
C2020Q4,V-SA,VIC1,336698.90832999954
C2020Q4,VIC1-NSW1,NSW1,-2237880.0090300012
C2020Q4,VIC1-NSW1,VIC1,9798741.880670002
C2021Q1,N-Q-MNSP1,NSW1,18493.135409999995
C2021Q1,N-Q-MNSP1,QLD1,89965.10405999985
C2021Q1,NSW1-QLD1,NSW1,195328.5598
C2021Q1,NSW1-QLD1,QLD1,-292331.3020199988
C2021Q1,T-V-MNSP1,TAS1,0.0
C2021Q1,T-V-MNSP1,VIC1,0.0
C2021Q1,V-S-MNSP1,SA1,37416.41425999998
C2021Q1,V-S-MNSP1,VIC1,872050.9115499998
C2021Q1,V-SA,SA1,1253192.85379
C2021Q1,V-SA,VIC1,2347135.054470004
C2021Q1,VIC1-NSW1,NSW1,-70669.82668999999
C2021Q1,VIC1-NSW1,VIC1,6876310.255749993
