C,NEMP.WORLD,SRBID,AEMO,PUBLIC,2025/06/16,14:26:39,0000000467959188,,0000000467959188
I,RESIDUE_PRICE_BID,,1,CONTRACTID,INTERCONNECTORID,REGIONID,UNITS,BIDPRICE,LINKEDBIDFLAG,AUCTIONID
D,RESIDUE_PRICE_BID,,1,C2026Q4T07,NSW1-QLD1,NSW1,1,40033.332030,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q4T03,NSW1-QLD1,NSW1,1,40033.332030,,A202506
D,RESIDUE_PRICE_BID,,1,C2025Q4T11,NSW1-QLD1,NSW1,1,40033.332030,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,1,26078,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,2,22140,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,2,21732,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,4,21323.52,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,10,21195,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,10,20729,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,15,20250.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,3,20103,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q2T05,NSW1-QLD1,NSW1,1,20016.666020,,A202506
D,RESIDUE_PRICE_BID,,1,C2025Q4T11,NSW1-QLD1,NSW1,1,20016.666020,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q3T04,NSW1-QLD1,NSW1,1,20016.666020,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q3T08,NSW1-QLD1,NSW1,1,20016.666020,,A202506
D,RESIDUE_PRICE_BID,,1,C2025Q3T12,NSW1-QLD1,NSW1,1,20016.666020,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q2T09,NSW1-QLD1,NSW1,1,20016.666020,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q4T03,NSW1-QLD1,NSW1,1,20016.666020,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q4T07,NSW1-QLD1,NSW1,1,20016.666020,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,4,20007.3456,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,5,20000.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,3,19656,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,4,19349.12,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,10,19245.599990,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,5,19000.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,6,18927.3456,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,2,18503,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,4,18361.919990,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,2,18250,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,4,18154.8136,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,2,18028,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,5,18000.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,2,17950,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,10,17742.47,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,2,17650,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,1,17503,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,1,17385,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,5,17368.48,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,2,17350,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,10,17342.47,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,2,17297.28,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,15,17280,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,10,17242.47,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,2,17236,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,4,17228.5476,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,5,17177.62,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,6,17174.8136,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,2,17137,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,10,17087.87,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,2,17050,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,5,17000.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,10,16887.87,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,16757,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,2,16750,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,10,16533.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,16505.64,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,5,16500,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,5,16498.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,2,16450,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,6,16298.5476,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,16254.29,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,5,16201.22,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,2,16135,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,10,16087.87,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,16002.94,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,5,16000.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,9,15795.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,5,15776.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,5,15774.32,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,15751.58,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,5,15668.23,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,8,15503,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,10,15503,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,15500.22,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,5,15497.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,2,15426,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,2,15338,,A202506
