C,NEMP.WORLD,SROFFER,AEMO,PUBLIC,2022/06/15,14:30:23,0000000365231434,,0000000365231434
I,RESIDUE_PRICE_OFFER,,1,:AUCTIONID,TRANCHEID,INTERCONNECTORID,FROMREGIONID,OFFERUNITS,OFFERPRICE
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,NSW1,1,15050.35
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,NSW1,1,15100.35
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,NSW1,5,5534.098070
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,NSW1,5,5734.098070
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,NSW1,5,12000
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,NSW1,5,16000
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,NSW1,5,20000
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,NSW1,5,24000
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,NSW1,5,30000
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,NSW1,7,5061.82
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,NSW1,7,6061.82
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,NSW1,55,0
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,14500
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,16500
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,18500
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20040.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20080.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20120.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20160.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20200.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20240.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20280.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20320.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20360.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20400.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20440.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20480.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20520.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20560.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20600.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20640.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20680.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20720.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20760.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20800.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20840.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20880.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20920.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,20960.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,1,21000.689990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,2,24800.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,2,25600.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,2,26400.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,2,27200.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,2,28000.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,2,28800.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,2,29600.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,2,30400.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,2,31200.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,2,32000.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,2,32800.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,2,33600.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,2,34400.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,2,35200.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,2,36000.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,2,36800.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,2,37600.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,2,38400.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,2,39200.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,2,40000.69
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,10,12177.312980
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,10,12276.312980
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,20,27000
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,25,45000
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,NSW1-QLD1,QLD1,100,0
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,1,8555.24
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,1,8610.24
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,1,8665.24
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,1,8720.24
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,1,8775.24
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,1,8830.24
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,1,8885.24
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,1,8940.24
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,1,8995.24
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,2,8000
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,2,8888.89
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,2,9777.78
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,2,10666.67
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,2,11555.56
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,2,12444.44
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,2,13333.33
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,2,14222.22
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,2,15111.11
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,2,16000
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,10,10555
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,10,14555
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,SA1,66,0
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,1,36000.97
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,1,37000.97
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,1,38000.97
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,1,39000.97
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,1,40000.97
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,1,41000.97
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,1,42000.97
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,1,43000.97
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,1,44000.97
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,1,45000.97
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,1,46000.97
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,1,47000.97
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,1,48000.97
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,1,49000.97
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,1,50000.97
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,1,51000.97
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,1,52000.97
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,1,53000.97
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,1,54000.97
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,1,55000.97
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,4,11000
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,4,12000
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,10,12100
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,10,14100
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,V-SA,VIC1,77,0
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1269.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1288.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1307.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1326.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1345.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1364.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1383.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1402.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1421.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1440.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1459.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1478.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1497.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1516.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1535.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1554.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1573.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1592.73
