month,start_observation_utc,end_observation_utc,rows,holiday_intervals_nsw,holiday_intervals_qld,holiday_intervals_vic,holiday_intervals_sa,holiday_intervals_tas,business_days_nsw,business_days_qld,business_days_vic,business_days_sa,business_days_tas,dst_transitions_nsw,dst_transitions_qld,dst_transitions_vic,dst_transitions_sa,dst_transitions_tas
2020-01,,,8929,852,864,852,858,852,21,21,21,21,21,0,0,0,0,0
2020-02,,,8353,0,0,0,0,288,20,20,20,20,19,0,0,0,0,0
2020-03,,,8929,0,0,288,288,288,23,23,22,22,22,0,0,0,0,0
2020-04,,,8641,1152,864,1152,864,864,21,21,21,20,21,1,0,1,1,1
2020-05,,,8929,0,288,0,0,0,22,21,22,22,22,0,0,0,0,0
2020-06,,,8641,288,0,288,288,288,22,23,22,21,22,0,0,0,0,0
2020-07,,,8929,0,0,0,0,0,23,23,23,24,23,0,0,0,0,0
2020-08,,,8929,288,0,0,0,0,21,22,22,22,22,0,0,0,0,0
2020-09,,,8641,0,0,0,0,0,23,23,23,23,23,0,0,0,0,0
2020-10,,,8929,288,288,0,288,0,21,21,22,22,22,1,0,1,1,1
2020-11,,,8641,0,0,288,0,0,22,22,21,22,22,0,0,0,0,0
2020-12,,,8929,589,577,589,583,589,22,22,22,22,22,0,0,0,0,0
2021-01,,,8929,564,576,564,570,564,20,20,20,20,20,0,0,0,0,0
2021-02,,,8065,0,0,0,0,288,21,21,21,21,20,0,0,0,0,0
2021-03,,,8929,0,0,288,288,288,24,24,23,23,23,0,0,0,0,0
2021-04,,,8641,1152,864,1152,864,864,20,20,20,20,20,1,0,1,1,1
2021-05,,,8929,0,288,0,0,0,22,21,22,22,22,0,0,0,0,0
2021-06,,,8641,288,0,288,288,288,22,23,22,22,22,0,0,0,0,0
2021-07,,,8929,0,0,0,0,0,22,22,22,23,22,0,0,0,0,0
2021-08,,,8929,288,0,0,0,0,22,23,23,22,23,0,0,0,0,0
2021-09,,,8641,0,0,0,0,0,23,23,23,23,23,0,0,0,0,0
2021-10,,,8929,288,288,0,288,0,21,21,22,22,22,1,0,1,1,1
2021-11,,,8641,0,0,288,0,0,23,23,22,23,23,0,0,0,0,0
2021-12,,,8929,589,577,589,583,589,23,23,23,23,23,0,0,0,0,0
2022-01,,,480577,14964,12384,15252,13818,14100,1149,1153,1148,1148,1147,9,0,9,9,9
2022-02,,,471649,14400,11808,14688,13248,13536,1129,1133,1128,1128,1127,9,0,9,9,9
2022-03,,,463585,14400,11808,14688,13248,13248,1109,1113,1108,1108,1108,9,0,9,9,9
2022-04,,,454657,14400,11808,14400,12960,12960,1086,1090,1086,1086,1086,9,0,9,9,9
2022-05,,,446017,13248,10944,13248,12096,12096,1068,1072,1068,1068,1068,8,0,8,8,8
2022-06,,,437089,13248,10656,13248,12096,12096,1046,1051,1046,1047,1046,8,0,8,8,8
2022-07,,,428449,12960,10656,12960,11808,11808,1025,1029,1025,1026,1025,8,0,8,8,8
2022-08,,,419521,12960,10656,12960,11808,11808,1004,1008,1004,1004,1004,8,0,8,8,8
2022-09,2022-08-31 14:00:00+00:00,2026-07-27 06:00:00+00:00,410593,12672,10656,12960,11808,11808,982,985,981,982,981,8,0,8,8,8
2022-10,2022-09-30 14:00:00+00:00,2026-07-27 06:05:00+00:00,401954,12672,10656,12960,11808,11808,960,963,959,960,959,8,0,8,8,8
2022-11,2022-10-31 14:00:00+00:00,2026-07-27 06:05:00+00:00,393026,12384,10368,12948,11520,11808,940,943,938,939,938,7,0,7,7,7
2022-12,2022-11-30 14:00:00+00:00,2026-07-27 06:05:00+00:00,384386,12384,10368,12672,11520,11808,918,921,917,917,916,7,0,7,7,7
2023-01,2022-12-31 14:00:00+00:00,2026-07-27 06:05:00+00:00,375458,11796,9792,12084,10938,11220,897,900,896,896,895,7,0,7,7,7
2023-02,2023-01-31 14:00:00+00:00,2026-07-27 06:05:00+00:00,366530,11232,9216,11520,10368,10656,876,879,875,875,874,7,0,7,7,7
2023-03,2023-02-28 14:00:00+00:00,2026-07-27 06:05:00+00:00,358466,11232,9216,11520,10368,10368,856,859,855,855,855,7,0,7,7,7
2023-04,2023-03-31 14:00:00+00:00,2026-07-27 06:05:00+00:00,349538,11232,9216,11232,10080,10080,833,836,833,833,833,7,0,7,7,7
2023-05,2023-04-30 14:00:00+00:00,2026-07-27 06:05:00+00:00,340898,10080,8352,10080,9216,9216,816,819,816,816,816,6,0,6,6,6
2023-06,2023-05-31 14:00:00+00:00,2026-07-27 06:05:00+00:00,331970,10080,8064,10080,9216,9216,793,797,793,794,793,6,0,6,6,6
2023-07,2023-06-30 14:00:00+00:00,2026-07-27 06:05:00+00:00,323330,9792,8064,9792,8928,8928,772,775,772,773,772,6,0,6,6,6
2023-08,2023-07-31 14:00:00+00:00,2026-07-27 06:05:00+00:00,314402,9792,8064,9792,8928,8928,751,754,751,752,751,6,0,6,6,6
2023-09,2023-08-31 14:00:00+00:00,2026-07-27 06:05:00+00:00,305474,9504,8064,9792,8928,8928,729,731,728,729,728,6,0,6,6,6
2023-10,2023-09-30 14:00:00+00:00,2026-07-27 06:05:00+00:00,296834,9504,8064,9792,8928,8928,708,710,707,707,707,6,0,6,6,6
2023-11,2023-10-31 14:00:00+00:00,2026-07-27 06:05:00+00:00,287906,9216,7776,9792,8640,8928,687,689,685,686,685,5,0,5,5,5
2023-12,2023-11-30 14:00:00+00:00,2023-12-31 14:00:00+00:00,8929,589,577,589,583,589,19,19,19,19,19,0,0,0,0,0
2024-01,2023-12-31 14:00:00+00:00,2024-01-31 14:00:00+00:00,8929,564,576,564,570,564,22,22,22,22,22,0,0,0,0,0
2024-02,2024-01-31 14:00:00+00:00,2024-02-29 14:00:00+00:00,8353,0,0,0,0,288,22,22,22,22,21,0,0,0,0,0
2024-03,2024-02-29 14:00:00+00:00,2024-03-31 14:00:00+00:00,8929,589,289,877,583,589,20,20,19,19,19,0,0,0,0,0
2024-04,2024-03-31 14:00:00+00:00,2024-04-30 14:00:00+00:00,8641,564,576,564,570,564,21,21,21,20,21,1,0,1,1,1
2024-05,2024-04-30 14:00:00+00:00,2024-05-31 14:00:00+00:00,8929,0,288,0,0,0,23,22,23,24,23,0,0,0,0,0
2024-06,2024-05-31 14:00:00+00:00,2024-06-30 14:00:00+00:00,8641,288,0,288,288,288,20,21,20,20,20,0,0,0,0,0
2024-07,2024-06-30 14:00:00+00:00,2024-07-31 14:00:00+00:00,8929,0,0,0,0,0,24,24,24,23,24,0,0,0,0,0
2024-08,2024-07-31 14:00:00+00:00,2026-07-27 06:05:00+00:00,208994,6624,5472,6624,6048,6048,499,501,499,500,499,4,0,4,4,4
2024-09,2024-08-31 14:00:00+00:00,2026-07-27 06:05:00+00:00,200066,6336,5472,6624,6048,6048,478,479,477,477,477,4,0,4,4,4
2024-10,2024-09-30 14:00:00+00:00,2024-10-31 14:00:00+00:00,8929,288,288,0,288,0,23,23,24,24,24,1,0,1,1,1
2024-11,2024-10-31 14:00:00+00:00,2024-11-30 14:00:00+00:00,8641,0,0,288,0,0,21,21,20,21,21,0,0,0,0,0
2024-12,2024-11-30 14:00:00+00:00,2024-12-31 14:00:00+00:00,8929,589,577,589,583,589,20,20,20,20,20,0,0,0,0,0
2025-01,2024-12-31 14:00:00+00:00,2026-07-27 06:05:00+00:00,164930,5460,4608,5748,5178,5460,394,395,393,393,392,3,0,3,3,3
2025-02,2025-01-31 14:00:00+00:00,2026-07-27 06:05:00+00:00,156002,4608,3744,4896,4320,4608,373,374,372,372,371,3,0,3,3,3
2025-03,2025-02-28 14:00:00+00:00,2026-07-27 06:05:00+00:00,147938,4608,3744,4896,4320,4320,353,354,352,352,352,3,0,3,3,3
2025-04,2025-03-31 14:00:00+00:00,2026-07-27 06:05:00+00:00,139010,4608,3744,4608,4032,4032,332,333,332,332,332,3,0,3,3,3
2025-05,2025-04-30 14:00:00+00:00,2026-07-27 06:05:00+00:00,130370,3456,2880,3456,3168,3168,313,314,313,314,313,2,0,2,2,2
2025-06,2025-05-31 14:00:00+00:00,2026-07-27 06:05:00+00:00,121442,3456,2592,3456,3168,3168,291,293,291,291,291,2,0,2,2,2
2025-07,2025-06-30 14:00:00+00:00,2026-07-27 06:05:00+00:00,112802,3168,2592,3168,2880,2880,271,272,271,272,271,2,0,2,2,2
2025-08,2025-07-31 14:00:00+00:00,2026-07-27 06:05:00+00:00,103874,3168,2592,3168,2880,2880,248,249,248,249,248,2,0,2,2,2
2025-09,2025-08-31 14:00:00+00:00,2026-07-27 06:05:00+00:00,94946,2880,2592,3168,2880,2880,228,228,227,227,227,2,0,2,2,2
2025-10,2025-09-30 14:00:00+00:00,2026-07-27 06:05:00+00:00,86306,2880,2592,3168,2880,2880,206,206,205,206,205,2,0,2,2,2
2025-11,2025-10-31 14:00:00+00:00,2026-07-27 06:05:00+00:00,77378,2592,2304,3168,2592,2880,184,184,182,183,182,1,0,1,1,1
2025-12,2025-11-30 14:00:00+00:00,2026-07-27 06:05:00+00:00,68738,2592,2304,2880,2592,2880,164,164,163,163,162,1,0,1,1,1
2026-01,2025-12-31 14:00:00+00:00,2026-07-27 06:05:00+00:00,59810,2004,1728,2292,2010,2292,143,143,142,142,141,1,0,1,1,1
2026-02,2026-01-31 14:00:00+00:00,2026-07-27 06:05:00+00:00,50882,1440,1152,1728,1440,1728,123,123,122,122,121,1,0,1,1,1
2026-03,2026-02-28 14:00:00+00:00,2026-07-27 06:05:00+00:00,42818,1440,1152,1728,1440,1440,103,103,102,102,102,1,0,1,1,1
2026-04,2026-03-31 14:00:00+00:00,2026-07-27 06:05:00+00:00,33890,1440,1152,1440,1152,1152,81,81,81,81,81,1,0,1,1,1
2026-05,2026-04-30 14:00:00+00:00,2026-07-27 06:05:00+00:00,25250,288,288,288,288,288,61,61,61,62,61,0,0,0,0,0
2026-06,2026-05-31 14:00:00+00:00,2026-07-27 06:05:00+00:00,16322,288,0,288,288,288,40,41,40,40,40,0,0,0,0,0
2026-07,2026-06-30 14:00:00+00:00,2026-07-27 06:05:00+00:00,7682,0,0,0,0,0,19,19,19,20,19,0,0,0,0,0
