month,rows,reused_checkpoint,runtime_sec,row_count_preserved,duplicate_canonical_keys,canonical_utc_semantically_unchanged,non_timestamp_base_columns_strictly_unchanged,timestamp_base_columns_semantically_unchanged,calendar_columns_present,regional_local_timestamps_valid,public_holiday_jurisdiction_valid,dst_handling_valid,cross_state_contamination_count,lineage_populated,feature_definition_version_correct,pass_all
2020-01,8929,True,0.0004,True,0,True,True,True,True,True,True,True,0,True,True,True
2020-02,8353,True,0.0003,True,0,True,True,True,True,True,True,True,0,True,True,True
2020-03,8929,True,0.0002,True,0,True,True,True,True,True,True,True,0,True,True,True
2020-04,8641,True,0.0006,True,0,True,True,True,True,True,True,True,0,True,True,True
2020-05,8929,True,0.0005,True,0,True,True,True,True,True,True,True,0,True,True,True
2020-06,8641,True,0.0002,True,0,True,True,True,True,True,True,True,0,True,True,True
2020-07,8929,True,0.0002,True,0,True,True,True,True,True,True,True,0,True,True,True
2020-08,8929,True,0.0005,True,0,True,True,True,True,True,True,True,0,True,True,True
2020-09,8641,True,0.0004,True,0,True,True,True,True,True,True,True,0,True,True,True
2020-10,8929,True,0.0002,True,0,True,True,True,True,True,True,True,0,True,True,True
2020-11,8641,True,0.0002,True,0,True,True,True,True,True,True,True,0,True,True,True
2020-12,8929,True,0.0007,True,0,True,True,True,True,True,True,True,0,True,True,True
2021-01,8929,True,0.0002,True,0,True,True,True,True,True,True,True,0,True,True,True
2021-02,8065,True,0.0001,True,0,True,True,True,True,True,True,True,0,True,True,True
2021-03,8929,True,0.0001,True,0,True,True,True,True,True,True,True,0,True,True,True
2021-04,8641,True,0.0003,True,0,True,True,True,True,True,True,True,0,True,True,True
2021-05,8929,True,0.0005,True,0,True,True,True,True,True,True,True,0,True,True,True
2021-06,8641,True,0.0005,True,0,True,True,True,True,True,True,True,0,True,True,True
2021-07,8929,True,0.0001,True,0,True,True,True,True,True,True,True,0,True,True,True
2021-08,8929,True,0.0004,True,0,True,True,True,True,True,True,True,0,True,True,True
2021-09,8641,True,0.0002,True,0,True,True,True,True,True,True,True,0,True,True,True
2021-10,8929,True,0.0001,True,0,True,True,True,True,True,True,True,0,True,True,True
2021-11,8641,True,0.0001,True,0,True,True,True,True,True,True,True,0,True,True,True
2021-12,8929,True,0.0002,True,0,True,True,True,True,True,True,True,0,True,True,True
2022-01,480577,True,0.0002,True,0,True,True,True,True,True,True,True,0,True,True,True
2022-02,471649,True,0.0002,True,0,True,True,True,True,True,True,True,0,True,True,True
2022-03,463585,True,0.0003,True,0,True,True,True,True,True,True,True,0,True,True,True
2022-04,454657,True,0.0003,True,0,True,True,True,True,True,True,True,0,True,True,True
2022-05,446017,True,0.0003,True,0,True,True,True,True,True,True,True,0,True,True,True
2022-06,437089,True,0.0003,True,0,True,True,True,True,True,True,True,0,True,True,True
2022-07,428449,True,0.0001,True,0,True,True,True,True,True,True,True,0,True,True,True
2022-08,419521,True,0.0001,True,0,True,True,True,True,True,True,True,0,True,True,True
2022-09,410593,False,87.8716,True,0,True,True,True,True,True,True,True,0,True,True,True
2022-10,401954,False,85.926,True,0,True,True,True,True,True,True,True,0,True,True,True
2022-11,393026,False,83.3518,True,0,True,True,True,True,True,True,True,0,True,True,True
2022-12,384386,False,81.9146,True,0,True,True,True,True,True,True,True,0,True,True,True
2023-01,375458,False,81.1941,True,0,True,True,True,True,True,True,True,0,True,True,True
2023-02,366530,False,77.642,True,0,True,True,True,True,True,True,True,0,True,True,True
2023-03,358466,False,76.1156,True,0,True,True,True,True,True,True,True,0,True,True,True
2023-04,349538,False,74.2064,True,0,True,True,True,True,True,True,True,0,True,True,True
2023-05,340898,False,72.5283,True,0,True,True,True,True,True,True,True,0,True,True,True
2023-06,331970,False,70.9635,True,0,True,True,True,True,True,True,True,0,True,True,True
2023-07,323330,False,68.9686,True,0,True,True,True,True,True,True,True,0,True,True,True
2023-08,314402,False,68.2615,True,0,True,True,True,True,True,True,True,0,True,True,True
2023-09,305474,False,65.8787,True,0,True,True,True,True,True,True,True,0,True,True,True
2023-10,296834,False,63.7093,True,0,True,True,True,True,True,True,True,0,True,True,True
2023-11,287906,False,60.9025,True,0,True,True,True,True,True,True,True,0,True,True,True
2023-12,8929,False,2.039,True,0,True,True,True,True,True,True,True,0,True,True,True
2024-01,8929,False,2.1797,True,0,True,True,True,True,True,True,True,0,True,True,True
2024-02,8353,False,1.871,True,0,True,True,True,True,True,True,True,0,True,True,True
2024-03,8929,False,2.0528,True,0,True,True,True,True,True,True,True,0,True,True,True
2024-04,8641,False,2.022,True,0,True,True,True,True,True,True,True,0,True,True,True
2024-05,8929,False,1.9995,True,0,True,True,True,True,True,True,True,0,True,True,True
2024-06,8641,False,1.9996,True,0,True,True,True,True,True,True,True,0,True,True,True
2024-07,8929,False,2.0304,True,0,True,True,True,True,True,True,True,0,True,True,True
2024-08,208994,False,44.1015,True,0,True,True,True,True,True,True,True,0,True,True,True
2024-09,200066,False,42.377,True,0,True,True,True,True,True,True,True,0,True,True,True
2024-10,8929,False,2.1209,True,0,True,True,True,True,True,True,True,0,True,True,True
2024-11,8641,False,2.0434,True,0,True,True,True,True,True,True,True,0,True,True,True
2024-12,8929,False,2.1657,True,0,True,True,True,True,True,True,True,0,True,True,True
2025-01,164930,False,34.9683,True,0,True,True,True,True,True,True,True,0,True,True,True
2025-02,156002,False,32.8765,True,0,True,True,True,True,True,True,True,0,True,True,True
2025-03,147938,False,31.4346,True,0,True,True,True,True,True,True,True,0,True,True,True
2025-04,139010,False,29.6526,True,0,True,True,True,True,True,True,True,0,True,True,True
2025-05,130370,False,27.7484,True,0,True,True,True,True,True,True,True,0,True,True,True
2025-06,121442,False,25.6092,True,0,True,True,True,True,True,True,True,0,True,True,True
2025-07,112802,False,23.9722,True,0,True,True,True,True,True,True,True,0,True,True,True
2025-08,103874,False,21.906,True,0,True,True,True,True,True,True,True,0,True,True,True
2025-09,94946,False,20.1514,True,0,True,True,True,True,True,True,True,0,True,True,True
